date,space_heating_kwh,space_cooling_kwh,dhw_kwh,total_kwh
2025-03-15,17.14,0.00,5.47,36.18
2025-03-16,11.27,0.00,13.04,68.96
2025-03-17,5.24,0.00,8.85,43.01
2025-03-18,8.17,0.00,1.47,23.28
2025-03-19,14.51,0.00,4.55,40.80
2025-03-20,17.69,0.00,4.75,67.34
2025-03-21,13.53,0.00,3.11,35.40
2025-03-22,12.91,0.00,9.15,34.31
2025-03-23,21.34,0.00,12.06,44.16
2025-03-24,20.14,0.00,10.01,71.81
2025-03-25,9.50,0.00,3.21,50.96
2025-03-26,16.55,0.00,2.21,46.62
2025-03-27,16.55,0.00,9.39,48.47
2025-03-28,0.47,0.00,6.66,58.72
2025-03-29,20.02,0.00,9.06,35.12
2025-03-30,20.32,0.00,12.63,75.22
2025-03-31,16.37,0.00,8.98,63.64
2025-04-01,8.50,0.00,1.13,38.26
2025-04-02,17.53,0.00,3.03,23.22
2025-04-03,22.83,0.00,6.38,37.08
2025-04-04,11.37,0.00,7.54,42.97
2025-04-05,16.42,0.00,5.71,27.63
2025-04-06,18.84,0.00,12.64,66.67
2025-04-07,11.61,0.00,9.38,66.74
2025-04-08,20.14,0.00,3.31,31.36
2025-04-09,22.50,0.00,2.42,37.00
2025-04-10,18.41,0.00,7.67,42.10
2025-04-11,14.98,0.00,6.75,41.59
2025-04-12,18.40,0.00,3.76,29.58
2025-04-13,15.24,0.00,18.14,90.69
2025-04-14,11.54,0.00,14.13,85.14
2025-04-15,10.75,0.00,1.39,54.50
2025-04-16,8.41,0.00,3.15,30.84
2025-04-17,9.51,0.00,7.08,28.89
2025-04-18,7.54,0.00,5.77,28.55
2025-04-19,9.15,0.00,9.03,34.56
2025-04-20,6.65,0.00,18.63,46.54
2025-04-21,7.18,0.00,6.07,38.23
2025-04-22,11.55,0.00,1.13,24.95
2025-04-23,9.62,0.00,5.75,27.85
2025-04-24,5.96,0.00,3.59,25.71
2025-04-25,8.13,0.00,7.57,25.97
2025-04-26,11.87,0.00,5.80,25.35
2025-04-27,4.83,0.00,9.45,43.40
2025-04-28,7.98,0.00,10.37,37.50
2025-04-29,9.78,0.00,2.98,23.57
2025-04-30,7.10,0.00,2.49,23.12
2025-05-01,5.91,0.00,6.40,24.80
2025-05-02,8.29,0.00,3.89,26.91
2025-05-03,5.97,0.00,6.33,26.40
2025-05-04,3.31,0.00,11.28,32.62
2025-05-05,0.26,0.00,6.63,35.87
2025-05-06,2.99,0.0,6.64,28.57
2025-05-07,1.91,0.0,7.95,29.51
2025-05-08,1.21,0.0,8.72,25.94
2025-05-09,1.5,0.0,7.16,27.8
2025-05-10,0.99,0.0,7.36,29.01
2025-05-11,0.92,0.0,7.74,21.28
2025-05-12,0.19,0.00,5.77,25.19
2025-05-13,0.56,0.00,3.57,30.24
2025-05-14,1.63,0.0,3.87,24.02
2025-05-15,0.65,0.0,3.28,25.03
2025-05-16,0.88,0.0,4.73,26.42
2025-05-17,2.29,0.0,5.76,34.86
2025-05-18,5.83,0.00,6.12,28.62
2025-05-19,0.94,0.00,10.97,43.99
2025-05-20,5.33,0.00,1.00,29.63
2025-05-21,6.91,0.00,6.65,31.94
2025-05-22,7.57,0.00,4.50,28.49
2025-05-23,9.60,0.00,3.30,27.31
2025-05-24,5.63,0.00,4.64,30.52
2025-05-25,5.96,0.00,10.24,48.52
2025-05-26,5.11,0.00,5.36,39.95
2025-05-27,3.05,0.00,1.94,26.11
2025-05-28,0.46,0.00,4.54,25.99
2025-05-29,0.11,0.00,3.83,22.35
2025-05-30,0.57,0.00,7.97,25.86
2025-05-31,1.81,0.00,3.30,21.35
2025-06-01,3.04,0.00,9.92,42.63
2025-06-02,2.74,0.00,7.48,30.78
2025-06-03,1.69,0.00,1.22,22.11
2025-06-04,0.55,0.00,4.48,25.24
2025-06-05,0.00,0.00,5.45,26.41
2025-06-06,0.00,0.00,3.71,25.26
2025-06-07,0.08,2.54,4.55,25.29
2025-06-08,0.30,0.40,10.23,38.89
2025-06-09,0.23,0.00,4.04,39.82
2025-06-10,3.60,0.00,1.51,28.78
2025-06-11,1.70,0.00,7.43,28.58
2025-06-12,0.00,0.00,3.25,22.31
2025-06-13,0.00,0.00,2.36,19.73
2025-06-14,0.78,0.53,6.43,22.74
2025-06-15,0.86,0.00,8.05,29.54
2025-06-16,0.34,0.00,2.95,25.18
2025-06-17,0.00,0.00,1.60,31.76
2025-06-18,0.36,0.00,4.36,21.45
2025-06-19,0.10,0.00,3.04,22.06
2025-06-20,0.00,0.00,4.05,22.70
2025-06-21,0.00,1.38,4.28,23.80
2025-06-22,0.00,3.13,10.89,39.74
2025-06-23,0.00,1.36,11.03,38.93
2025-06-24,0.00,3.73,1.28,21.48
2025-06-25,0.00,7.04,2.46,24.68
2025-06-26,0.00,2.18,3.12,27.63
2025-06-27,0.00,0.55,5.66,25.30
2025-06-28,0.00,0.00,2.65,19.93
2025-06-29,0.00,0.00,7.28,34.46
2025-06-30,0.00,0.54,5.46,29.11
2025-07-01,0.00,3.90,1.35,21.94
2025-07-02,0.00,3.18,6.80,33.27
2025-07-03,0.00,3.25,2.86,26.65
2025-07-04,0.00,2.38,5.43,25.74
2025-07-05,0.00,3.37,5.81,27.07
2025-07-06,0.00,1.23,5.35,39.26
2025-07-07,0.00,4.12,2.15,22.86
2025-07-08,0.00,3.48,1.09,26.71
2025-07-09,0.00,2.27,5.59,28.41
2025-07-10,0.00,0.62,6.35,26.09
2025-07-11,0.00,0.10,5.01,24.49
2025-07-12,0.00,0.12,3.19,27.72
2025-07-13,0.00,0.81,8.89,25.57
2025-07-14,0.00,2.30,2.88,21.05
2025-07-15,0.00,3.49,1.53,23.87
2025-07-16,0.00,6.19,5.59,27.26
2025-07-17,0.00,3.26,4.51,28.22
2025-07-18,0.00,3.59,3.16,27.70
2025-07-19,0.00,6.19,3.97,35.01
2025-07-20,0.00,3.17,13.26,46.56
2025-07-21,0.00,0.28,5.59,33.66
2025-07-22,0.00,0.71,1.57,22.57
2025-07-23,0.00,2.76,3.84,22.39
2025-07-24,0.00,1.31,3.14,25.37
2025-07-25,0.00,3.43,4.86,25.62
2025-07-26,0.00,2.07,3.53,28.36
2025-07-27,0.00,4.27,12.47,37.57
2025-07-28,0.51,3.69,1.79,24.75
2025-07-29,0.00,2.55,0.72,27.55
2025-07-30,0.00,3.03,4.46,26.64
2025-07-31,0.00,2.10,2.50,21.58
2025-08-01,0.00,1.02,1.74,19.65
2025-08-02,0.93,3.05,1.86,22.18
2025-08-03,0.80,3.77,6.81,30.13
2025-08-04,0.00,4.38,1.74,25.07
2025-08-05,0.00,4.52,0.61,30.61
2025-08-06,0.54,3.76,3.61,30.16
2025-08-07,0.88,4.30,4.28,26.49
2025-08-08,0.00,1.38,3.61,27.07
2025-08-09,0.00,4.39,2.92,21.86
2025-08-10,0.00,4.17,8.67,41.24
2025-08-11,0.00,4.39,8.93,40.23
2025-08-12,0.00,4.24,1.11,26.25
2025-08-13,0.00,2.79,3.92,26.65
2025-08-14,0.00,2.71,2.34,25.72
2025-08-15,0.00,2.71,4.19,25.33
2025-08-16,0.00,1.25,2.41,22.74
2025-08-17,0.00,1.63,4.74,21.76
